user_0,"[,',B,0,1,2,E,L,C,Y,U,G,',,, ,',B,0,8,Z,X,Z,3,6,2,Z,',]","['4.3', '3.5']",age_46,sex_F
user_0,"[,',B,0,8,Z,X,Z,3,6,2,Z,',,, ,',B,0,B,M,X,M,L,S,M,M,',]","['3.5', '4.5']",age_46,sex_F
user_0,"[,',B,0,B,M,X,M,L,S,M,M,',,, ,',B,0,8,3,2,W,3,B,7,Q,',]","['4.5', '3.8']",age_46,sex_F
user_0,"[,',B,0,8,3,2,W,3,B,7,Q,',,, ,',B,0,7,D,G,D,4,Z,4,C,',]","['3.8', '3.9']",age_46,sex_F
user_0,"[,',B,0,8,3,2,W,3,B,7,Q,',,, ,',B,0,7,D,G,D,4,Z,4,C,',]","['3.8', '3.9']",age_46,sex_F
user_1,"[,',B,0,9,Y,L,X,Y,P,7,Y,',,, ,',B,0,1,7,P,D,R,9,N,0,',]","['4.0', '4.1']",age_52,sex_F
user_1,"[,',B,0,1,7,P,D,R,9,N,0,',,, ,',B,0,8,G,M,5,S,4,C,Q,',]","['4.1', '4.4']",age_52,sex_F
user_1,"[,',B,0,8,G,M,5,S,4,C,Q,',,, ,',B,0,8,S,7,4,G,T,B,T,',]","['4.4', '3.7']",age_52,sex_F
user_1,"[,',B,0,8,G,M,5,S,4,C,Q,',,, ,',B,0,8,S,7,4,G,T,B,T,',]","['4.4', '3.7']",age_52,sex_F
user_10,"[,',B,0,7,G,N,C,2,5,9,2,',,, ,',B,0,9,Z,2,8,B,Q,Z,T,',]","['4.0', '3.9']",age_42,sex_M
user_10,"[,',B,0,9,Z,2,8,B,Q,Z,T,',,, ,',B,0,0,8,I,F,X,Q,F,U,',]","['3.9', '4.2']",age_42,sex_M
user_10,"[,',B,0,0,8,I,F,X,Q,F,U,',,, ,',B,0,8,C,H,K,Q,8,D,4,',]","['4.2', '4.1']",age_42,sex_M
user_10,"[,',B,0,8,V,B,3,4,K,J,1,',,, ,',B,0,7,G,1,4,7,S,Z,D,',]","['4.2', '4.0']",age_42,sex_M
user_10,"[,',B,0,7,G,1,4,7,S,Z,D,',,, ,',B,0,7,S,R,M,5,8,T,P,',]","['4.0', '4.0']",age_42,sex_M
