user_id,product_id,rating
1,693fd375d72d81dde8ee93554aeaef8c,5
1,d7815c7c5d49ac93e04ae1e52ed0ee56,4
1,8262b1da2a9252ae01a145d52fd225ab,5
1,86b09701c008c368f1c697e31efe9e0d,4
1,7c1647311819271b4f7b78e279601bf8,4
1,76a211abbd92633e0d0aa8155a36ccbc,1
2,4512e31120b78db3405876c9a8e73d25,1
2,17f63187bf06467a7fd240c4135c68d4,5
2,2cba37cbd9602e5ace20bdd956b303bc,1
2,4fb10202bf7afd5665b65d2864ebaa06,3
2,958be8a12a0d38f9c594592e74f290d2,1
2,b9d06a48b902ba45f73ff1db4b2790bd,5
2,d0819e4eac5f15973d268493dec0c12f,3
3,cedf1a509da48bcde833fa5daa78ebfa,4
3,5199f8244447f89c2499465a974c5f5f,2
3,e7491a4c17f3d12c696f7b05c2383699,1
3,84b1b3e805c666f643b800f4b62172a4,3
3,4b77ea4b37f80f95958af3fa2eb2b300,5
3,7ec24e5ab37cc272cf5d8eaa4d6ab0de,1
4,5fcc62e2fd1fc787cdfdbdd3cc20ba3c,2
4,d936d7e1b0d2008436221f35001e00d1,4
4,9686e13402b24211479de47880068648,4
4,9eb85128798f24fca126e4640b941417,5
5,fc25ef8a945024e9559e52680ed8a802,1
5,9588e5a647cf3977b71621892a45fa10,5
5,8c6232064e18656bfea9213c33b0ef77,5
5,7b1781172e4b65ecfec72f1003db0184,4
5,2e5f2660467165ee1f086e353154ea1c,5
6,586402fe548a49c55851d7255b82f596,4
6,bd911e0eb3cdb08304303d1f185101f8,3
6,62bb381a8f309aa52b78dbaba416afdf,3
6,01b8e6d7859538bdff1909fceaffcace,5
7,5679e8816115d45e7f7e9c033afe244e,3
7,f11aadaebb7796882e964c8eab11de67,3
7,d094a79dbe43aef25d7cb4f3a30ec8a1,3
7,1adc35113e64cf7927faaff58b03a3c8,5
8,b0d0e0c51883435b60cbb05d19cb208d,3
8,2a2dc8401cd30b9b38e4432f45aec17a,2
8,451857d0c1385a1466c3c846fdbf6ab1,1
8,67724520d1afd46c9ca4d05620b0b390,1
9,2c00e86f0a2f80d237736ba748935713,3
9,cbe1a4d893b07a3530b9dcbcb209c813,2
9,276912a8550cda1153b0f6df9e33dd13,3
9,f8204fe883b25999f976a7ea52e256d2,4
9,ed92fe448d217585fb2b8a8708e6d4ae,4
10,c8eb040743a0258af1464dfd359337e3,3
10,28a2a7b1c117acceb2e409d903c51009,4
10,ce7801bb37a9c6a4e14e9e12b637ca10,5
10,22d1063ca0fe41c21e25864c6867dbf8,5
11,6abf148e8ba076fa41b41d2a64f92e90,1
11,08957c8837356fd4a9e3a662cdc1222a,5
11,ffa5bb34dc2c9048e413258804e72af7,1
11,81b85711c2e12c27c4301ac5d47dd259,5
11,d81e60eb850d141228c3918822f7ffee,5
11,e02cfb173b0ebfd5bf1e664242db2d34,2
11,d571d01797b5e57d5a966cc7ece377d2,4
11,2de86711f8c0a15db844bf9475654c28,3
11,e18c3b9cf57ae39becee1cf36e82259a,3
12,a0790a623ccc9e2058754a1eb3e0a227,1
12,66a307d75bb29fa26643e896dad4e314,5
12,594a7f8c3a18ef27ab51ae0694a8d64c,3
12,defff4e7115164caa3506cba4d7d3dbc,4
12,10a1053f7ae96246b13f011f4cab1354,1
13,dbc009fce6fb3cd3e907ef6eb66727e8,1
13,7ffc8739015b671d8bc203e473c4b48b,5
13,9bc11fc8ea3e6656b77d5769d54e920e,5
13,b4aefc16e86dca26e456960595cde167,3
13,4e1cdfaedfceddf6de4747c6ef7cdb35,4
13,65229a6bcaa653f0b732b5f3e802ebdd,5
14,bd7368acf26fec3c8f46b2b9942a22a9,4
